id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
385343,Male,24,1,29,1,1,2,37857,152,102,1
385344,Female,68,1,34,0,2,1,34013,26,56,1
385345,Male,20,1,25,0,1,2,43342,160,236,1
385346,Male,40,1,28,0,3,1,2630,124,164,1
385347,Female,44,1,41,0,3,1,36822,154,109,1
385348,Male,43,1,28,0,3,1,32025,154,228,1
385349,Male,23,1,41,1,1,2,52391,152,31,1
385350,Male,31,1,16,1,1,2,2630,152,51,1
385351,Male,37,1,41,0,3,1,32222,124,291,1
385352,Female,22,1,43,1,1,2,30082,160,137,1
385353,Male,25,1,29,1,1,2,2630,152,49,1
385354,Female,30,1,9,1,1,2,27926,152,27,1
385355,Male,35,1,28,0,3,1,32727,124,151,1
385356,Male,53,1,41,0,3,1,28720,124,247,1
385357,Male,24,1,15,0,1,1,28885,152,33,1
385358,Female,36,1,28,0,3,1,31903,26,93,1
385359,Male,57,1,28,1,3,2,29885,26,102,1
385360,Female,43,1,28,0,3,1,31300,55,178,1
385361,Female,45,1,28,0,3,1,33534,13,282,1
385362,Male,45,1,28,0,3,1,122351,26,222,1
385363,Male,22,1,4,1,1,2,2630,152,45,1
385364,Male,47,1,28,0,3,1,28367,26,33,1
385365,Female,43,1,28,1,3,2,52626,124,50,1
385366,Male,41,1,15,1,3,2,38781,124,87,1
385367,Male,62,1,17,1,3,2,27924,26,23,1
385368,Male,27,1,36,0,1,2,22364,160,70,1
385369,Female,69,1,28,1,3,2,34028,26,277,1
385370,Female,25,1,17,1,1,2,55194,151,254,1
385371,Male,60,1,28,0,3,1,26358,26,15,1
385372,Female,24,1,9,0,1,2,2630,152,221,1
385373,Male,52,1,28,0,3,2,32790,124,196,1
385374,Female,43,1,28,1,3,2,54307,26,51,1
385375,Male,51,1,28,0,3,1,43941,25,32,1
385376,Female,52,1,46,1,3,2,37156,11,223,1
385377,Female,24,1,8,1,1,2,34038,152,158,1
385378,Male,36,1,28,0,3,1,42837,124,41,1
385379,Female,43,1,28,0,3,1,65758,124,214,1
385380,Male,52,1,7,0,3,1,48431,31,57,1
385381,Female,23,1,8,1,1,2,47065,152,221,1
385382,Female,21,1,30,1,1,2,30061,160,116,1
385383,Male,50,1,41,0,3,2,54957,26,288,1
385384,Male,25,1,11,1,1,2,17372,152,140,1
385385,Female,21,1,8,0,1,1,35612,160,189,1
385386,Male,20,1,35,0,1,1,25784,160,270,1
385387,Male,64,1,28,1,3,2,30419,26,139,1
385388,Male,50,1,28,1,3,2,2630,124,40,1
385389,Female,41,1,8,0,3,1,36213,124,231,1
385390,Male,42,1,35,1,3,2,29004,26,122,1
385391,Male,23,1,29,1,1,2,24150,151,156,1
385392,Female,27,1,28,0,1,1,42432,152,63,1
385393,Male,23,1,28,0,1,1,37771,154,242,1
385394,Female,42,1,47,0,3,1,41898,154,18,1
385395,Male,35,1,28,0,3,1,37145,124,275,1
385396,Male,45,1,41,0,3,1,21341,124,280,1
385397,Male,29,1,28,0,1,1,2630,152,270,1
385398,Female,22,1,5,0,1,2,27972,152,93,1
385399,Male,22,1,7,1,1,2,64306,152,142,1
385400,Male,70,1,28,0,3,1,2630,158,53,1
385401,Male,43,1,47,1,3,1,2630,156,204,1
385402,Female,22,1,30,1,1,2,46292,152,150,1
385403,Male,21,1,47,1,1,2,37998,152,182,1
385404,Male,31,1,41,1,1,2,37812,152,152,1
385405,Male,44,1,28,1,3,2,23693,154,118,1
385406,Male,66,1,28,0,3,1,25205,26,136,1
385407,Male,35,1,15,0,3,1,32781,124,18,1
385408,Female,26,1,8,1,1,2,48691,152,289,1
385409,Male,24,1,36,1,1,2,31994,152,250,1
385410,Female,43,1,0,0,3,2,2630,26,245,1
385411,Male,33,1,11,1,3,2,27922,26,142,1
385412,Male,25,1,32,1,1,2,2630,26,152,1
385413,Male,67,1,46,1,3,2,25257,29,299,1
385414,Male,21,1,15,0,1,1,30485,152,131,1
385415,Male,64,1,11,1,3,2,44606,26,58,1
385416,Female,72,1,28,0,3,1,23578,124,39,1
385417,Female,24,1,9,0,1,1,2630,152,15,1
385418,Female,28,1,3,0,1,1,2630,156,36,1
385419,Female,36,1,46,0,3,1,27568,26,68,1
385420,Female,22,1,13,1,1,2,32702,152,113,1
385421,Female,72,1,50,1,3,2,2630,26,162,1
385422,Female,29,1,6,1,1,2,35367,152,258,1
385423,Male,77,1,41,0,3,1,36417,124,205,1
385424,Female,44,1,48,0,3,1,2630,26,80,1
385425,Male,46,1,41,0,3,1,25255,124,185,1
385426,Male,46,1,15,0,1,2,2630,1,102,1
385427,Male,48,1,28,0,3,1,27788,26,74,1
385428,Male,46,1,28,1,3,1,37279,124,236,1
385429,Female,45,1,28,0,3,1,45428,122,10,1
385430,Female,21,1,28,1,1,2,47122,124,143,1
385431,Female,68,1,48,1,3,2,2630,26,48,1
385432,Female,32,1,8,1,1,2,44161,152,125,1
385433,Male,21,1,43,1,1,2,31747,160,183,1
385434,Female,54,1,8,0,3,1,35572,7,227,1
385435,Female,24,1,11,1,1,2,27312,152,221,1
385436,Female,74,1,14,0,3,1,62105,26,25,1
385437,Male,46,1,28,1,3,2,29481,139,181,1
385438,Female,46,1,28,1,3,2,26194,152,47,1
385439,Male,48,1,8,1,3,2,43740,124,288,1
385440,Male,22,1,41,0,1,1,43829,152,251,1
385441,Male,50,1,8,1,3,1,38780,124,223,1
385442,Male,42,1,28,0,3,1,70442,25,158,1
385443,Male,23,1,28,0,1,1,88659,163,230,1
385444,Male,73,1,28,0,2,1,40525,26,23,1
385445,Male,24,1,45,1,1,2,2630,160,196,1
385446,Male,41,1,0,0,3,2,2630,124,279,1
385447,Male,31,1,46,1,1,1,29221,152,136,1
385448,Male,30,1,28,0,1,1,27610,31,66,1
385449,Male,41,1,33,0,3,1,37078,125,251,1
385450,Female,21,1,50,1,1,2,42363,152,199,1
385451,Female,44,1,23,0,3,1,26970,124,224,1
385452,Female,21,1,30,1,1,2,25545,152,157,1
385453,Female,74,1,28,0,3,1,46804,124,260,1
385454,Female,22,1,13,1,1,2,22092,152,267,1
385455,Female,74,1,34,1,3,2,2630,124,179,1
385456,Female,62,1,3,0,2,1,51205,26,291,1
385457,Male,26,1,33,1,1,2,2630,160,25,1
385458,Male,25,1,15,1,1,2,36204,152,270,1
385459,Male,44,1,46,0,3,1,2630,124,98,1
385460,Male,55,1,33,0,3,1,37486,124,273,1
385461,Male,42,1,14,0,3,1,24578,26,110,1
385462,Female,49,1,28,1,3,2,29599,26,31,1
385463,Male,62,1,4,0,3,1,37427,124,20,1
385464,Female,29,1,15,1,1,2,26936,152,85,1
385465,Male,22,1,37,1,1,2,32579,152,54,1
385466,Female,37,1,28,0,3,1,37227,26,112,1
385467,Male,59,1,28,1,3,2,26860,26,48,1
385468,Female,63,1,30,0,3,1,29389,154,82,1
385469,Female,26,1,11,0,1,1,64232,152,52,1
385470,Female,25,1,47,1,1,2,36718,152,115,1
385471,Male,38,1,15,0,3,1,37261,26,151,1
385472,Male,32,1,3,0,3,2,2630,157,267,1
385473,Female,47,1,28,0,2,1,33905,124,53,1
385474,Male,78,1,28,0,2,1,38295,26,262,1
385475,Male,52,1,28,0,3,1,21894,124,101,1
385476,Male,21,1,50,0,1,1,57233,160,88,1
385477,Male,43,1,50,0,3,1,24934,64,101,1
385478,Male,43,1,36,0,3,1,30313,124,30,1
385479,Female,38,1,28,0,3,1,36526,124,84,1
385480,Male,55,1,30,0,3,1,33263,157,68,1
385481,Male,76,1,28,0,3,1,31856,122,115,1
385482,Female,30,1,46,1,1,2,32637,152,296,1
385483,Female,23,1,2,0,1,1,38178,152,59,1
385484,Male,41,1,26,0,3,1,37395,22,132,1
385485,Male,59,1,28,1,3,2,64191,26,140,1
385486,Female,23,1,12,0,1,1,21819,152,177,1
385487,Female,62,1,43,0,3,1,29113,26,103,1
385488,Female,27,1,8,1,1,2,29295,26,148,1
385489,Female,25,1,15,1,1,2,35100,160,216,1
385490,Male,21,1,46,1,1,2,25590,160,280,1
385491,Female,45,1,28,0,3,1,28308,109,143,1
385492,Female,39,1,23,0,2,1,32892,124,139,1
385493,Female,50,1,28,0,3,1,44291,26,34,1
385494,Male,22,1,18,1,3,1,2630,156,37,1
385495,Male,24,1,8,1,1,2,2630,160,94,1
385496,Female,49,1,15,0,3,1,21226,60,19,1
385497,Male,26,1,47,1,1,2,33799,152,126,1
385498,Male,52,1,27,0,3,1,31999,124,100,1
385499,Female,24,1,37,1,1,2,32866,152,192,1
385500,Female,59,1,28,0,3,1,45588,152,250,1
385501,Male,27,1,30,1,1,2,39799,152,45,1
385502,Male,22,1,41,1,1,2,28635,152,245,1
385503,Male,41,1,0,0,3,1,2630,26,219,1
385504,Female,42,1,14,0,3,2,2630,124,33,1
385505,Male,31,1,46,0,1,1,30399,152,60,1
385506,Male,28,1,46,1,1,2,26136,152,32,1
385507,Male,23,1,35,1,1,2,25516,152,110,1
385508,Female,21,1,46,1,1,2,39353,160,196,1
385509,Male,72,1,41,1,3,2,27410,26,40,1
385510,Female,23,1,45,1,1,2,33313,152,217,1
385511,Male,51,1,28,0,2,1,40020,26,129,1
385512,Female,44,1,28,0,3,1,61483,124,244,1
385513,Female,59,1,29,1,3,2,34913,26,199,1
385514,Female,21,1,8,1,1,2,51091,160,48,1
385515,Female,36,1,29,0,3,1,26653,124,75,1
385516,Female,32,1,37,1,1,2,39488,152,198,1
385517,Female,46,1,47,0,3,2,35610,124,242,1
385518,Female,26,1,10,1,1,2,34396,152,34,1
385519,Male,25,1,10,1,1,2,28566,152,161,1
385520,Male,38,1,28,0,3,1,39437,31,139,1
385521,Female,25,1,15,0,3,2,33742,124,296,1
385522,Female,26,1,6,1,1,2,25095,152,107,1
385523,Male,27,1,11,1,1,2,36275,152,167,1
385524,Male,37,1,8,1,3,2,48234,7,298,1
385525,Male,42,1,3,0,3,1,28145,124,190,1
385526,Female,22,1,9,0,1,2,2630,160,276,1
385527,Female,49,1,28,0,3,1,40970,122,245,1
385528,Male,44,1,28,0,3,1,29189,124,22,1
385529,Female,34,1,28,1,3,2,50470,122,29,1
385530,Female,39,1,47,0,3,1,34945,152,211,1
385531,Male,49,1,28,0,2,1,35421,26,38,1
385532,Female,24,1,51,1,1,2,41502,152,72,1
385533,Female,56,1,4,0,3,1,27971,26,198,1
385534,Male,49,1,13,0,3,1,19999,124,153,1
385535,Male,54,1,48,0,3,1,2630,124,154,1
385536,Male,31,1,8,0,1,1,40064,152,184,1
385537,Female,41,1,28,1,3,2,45362,124,181,1
385538,Male,30,1,19,1,1,2,34512,152,185,1
385539,Male,44,1,45,0,3,1,30603,26,38,1
385540,Male,54,1,28,1,3,2,31116,124,204,1
385541,Female,53,1,45,0,3,1,27665,26,109,1
385542,Male,36,1,8,0,3,1,30087,124,223,1
385543,Male,54,1,41,0,3,1,29459,154,158,1
385544,Male,32,1,8,0,1,1,37960,152,72,1
385545,Male,32,1,36,0,3,2,24036,124,13,1
385546,Male,22,1,8,1,1,2,33836,152,224,1
385547,Female,48,1,0,1,3,2,2630,26,31,1
385548,Male,26,1,10,1,1,2,40499,151,219,1
385549,Female,58,1,28,1,3,2,43452,60,90,1
385550,Male,59,1,14,1,3,1,27429,124,223,1
385551,Female,44,1,28,1,3,2,28114,124,10,1
385552,Female,50,1,46,0,3,1,27657,30,270,1
385553,Male,53,1,8,0,3,2,69199,26,249,1
385554,Male,63,1,3,1,3,2,2630,124,201,1
385555,Male,42,1,3,1,3,2,34638,26,41,1
385556,Male,25,1,37,0,1,1,31026,152,181,1
385557,Male,54,1,8,1,3,1,37916,26,191,1
385558,Male,39,1,33,0,3,1,31786,156,172,1
385559,Female,71,1,41,0,3,1,35323,124,101,1
385560,Female,24,1,28,1,1,2,55555,151,201,1
385561,Female,65,1,28,0,2,1,49792,122,251,1
385562,Female,24,1,25,1,1,2,30947,152,21,1
385563,Female,46,1,28,1,3,2,68780,124,195,1
385564,Female,21,1,36,1,1,2,45950,160,88,1
385565,Male,30,1,18,0,3,1,25231,124,210,1
385566,Male,56,1,28,0,3,1,52916,124,210,1
385567,Female,22,1,47,1,1,2,44548,152,157,1
385568,Male,49,1,28,1,3,1,51609,26,249,1
385569,Female,21,1,30,1,1,2,26658,152,212,1
385570,Male,66,1,29,0,3,1,2630,26,22,1
385571,Male,42,1,8,0,3,1,28832,26,62,1
385572,Female,50,1,28,0,3,1,31033,124,165,1
385573,Female,84,1,28,1,3,2,28275,124,125,1
385574,Female,21,1,36,1,1,2,32430,152,250,1
385575,Male,77,1,28,0,3,1,2630,156,102,1
385576,Male,28,1,3,0,3,1,2630,157,30,1
385577,Male,20,1,8,1,1,2,21389,160,69,1
385578,Female,20,1,8,0,1,1,41298,160,122,1
385579,Female,27,1,36,0,1,1,34722,124,129,1
385580,Female,32,1,2,0,1,1,26590,152,96,1
385581,Female,74,1,24,1,3,2,2630,26,160,1
385582,Female,40,1,45,0,3,1,25096,124,86,1
385583,Female,21,1,8,0,1,1,50392,152,267,1
385584,Female,71,1,30,1,3,2,19020,26,196,1
385585,Male,69,1,46,1,3,2,34675,124,240,1
385586,Male,46,1,33,0,3,1,32937,26,22,1
385587,Male,51,1,46,1,3,1,21020,124,108,1
385588,Male,22,1,50,1,1,2,30377,152,119,1
385589,Male,35,1,41,1,3,2,29228,124,117,1
385590,Male,21,1,15,1,1,2,28066,152,170,1
385591,Female,22,1,49,1,1,2,27288,152,294,1
385592,Female,20,1,30,0,1,1,2630,163,51,1
385593,Male,44,1,7,0,3,2,35359,26,10,1
385594,Female,20,1,15,1,1,2,39215,160,108,1
385595,Male,59,1,43,1,3,2,30456,124,244,1
385596,Female,44,1,28,0,3,1,55464,26,255,1
385597,Male,39,1,28,0,3,1,30270,26,71,1
385598,Male,29,1,6,1,1,2,24850,152,264,1
385599,Female,38,1,28,1,3,2,2630,13,211,1
385600,Female,22,1,13,1,1,2,23582,152,190,1
385601,Female,23,1,41,1,1,2,26630,152,126,1
385602,Female,46,1,20,1,3,2,2630,124,114,1
385603,Male,40,1,11,1,3,2,2630,124,240,1
385604,Male,63,1,11,1,3,2,40816,26,83,1
385605,Female,22,1,26,1,1,2,34281,152,243,1
385606,Male,27,1,33,1,1,2,30402,152,286,1
385607,Female,24,1,8,1,1,2,56410,152,269,1
385608,Female,21,1,50,1,1,2,35535,160,284,1
385609,Female,22,1,30,0,1,1,35206,163,291,1
385610,Female,22,1,30,0,1,1,34846,160,297,1
385611,Male,46,1,28,0,3,2,50780,26,32,1
385612,Female,47,1,28,1,3,2,33752,29,49,1
385613,Male,41,1,41,0,3,1,2630,124,229,1
385614,Male,22,1,11,1,1,2,30847,152,122,1
385615,Female,25,1,47,0,1,2,16951,152,78,1
385616,Male,41,1,28,0,3,1,2630,157,264,1
385617,Male,67,1,0,0,3,2,2630,52,137,1
385618,Female,25,1,33,1,1,2,28650,152,20,1
385619,Male,43,1,50,1,3,2,49576,25,187,1
385620,Male,64,1,28,0,2,1,45036,124,181,1
385621,Male,24,1,41,1,1,2,35045,152,74,1
385622,Female,23,1,45,1,1,1,24991,152,238,1
385623,Male,59,1,7,1,3,2,2630,124,174,1
385624,Male,25,1,28,1,3,2,38549,124,236,1
385625,Female,24,1,49,0,1,1,2630,152,58,1
385626,Male,76,1,8,0,3,1,48860,124,134,1
385627,Female,73,1,28,0,3,1,54789,122,187,1
385628,Male,41,1,28,0,3,2,44611,26,119,1
385629,Male,78,1,28,0,2,1,2630,26,139,1
385630,Male,43,1,29,0,2,1,2630,157,78,1
385631,Female,25,1,18,1,1,2,21383,152,240,1
385632,Male,23,1,30,0,1,1,31673,152,15,1
385633,Female,53,1,28,1,3,2,42623,26,240,1
385634,Male,56,1,28,0,3,1,29872,26,248,1
385635,Male,40,1,28,1,3,2,27544,26,189,1
385636,Male,49,1,29,0,3,1,43311,26,178,1
385637,Female,30,1,8,0,3,1,2630,156,83,1
385638,Female,25,1,26,1,1,2,2630,160,242,1
385639,Male,43,1,8,0,3,1,45811,26,182,1
385640,Female,24,1,46,1,1,2,21415,152,122,1
385641,Male,41,1,50,0,3,2,2630,124,87,1
385642,Male,35,1,3,0,3,1,19765,26,119,1
385643,Female,45,1,29,0,3,1,42899,124,164,1
385644,Male,47,1,8,0,3,1,30966,26,245,1
385645,Male,55,1,29,1,3,2,36757,26,199,1
385646,Male,36,1,8,0,3,1,41499,26,205,1
385647,Female,22,1,8,0,1,1,41615,152,281,1
385648,Male,23,1,45,1,1,2,34511,152,33,1
385649,Female,27,1,29,1,1,2,22008,152,140,1
385650,Male,22,1,27,1,1,2,25433,152,230,1
385651,Female,31,1,3,1,1,2,37506,152,75,1
385652,Male,37,1,45,1,3,2,2630,26,156,1
385653,Female,57,1,37,1,3,2,37330,26,56,1
385654,Male,24,1,41,1,1,2,36763,152,251,1
385655,Male,28,1,28,1,1,2,31120,152,117,1
385656,Female,23,1,28,1,1,2,60734,152,194,1
385657,Male,51,1,2,1,3,2,32064,26,63,1
385658,Male,62,1,33,1,3,2,2630,26,299,1
385659,Female,45,1,28,1,3,2,44617,122,209,1
385660,Male,27,1,28,0,1,1,2630,160,244,1
385661,Female,20,1,25,1,1,2,17778,160,203,1
385662,Female,43,1,36,0,1,2,2630,1,127,1
385663,Female,72,1,8,1,3,2,2630,26,31,1
385664,Male,24,1,28,0,1,1,58912,152,130,1
385665,Male,54,1,41,1,3,2,20928,26,87,1
385666,Male,61,1,28,0,3,1,58550,125,78,1
385667,Male,25,1,41,0,3,1,45045,124,261,1
385668,Male,80,1,28,0,3,1,55532,26,54,1
385669,Male,37,1,46,1,3,2,30225,154,273,1
385670,Male,66,1,28,0,2,1,29504,26,132,1
385671,Male,47,1,46,0,3,1,40807,26,259,1
385672,Female,25,1,11,1,1,2,43955,152,40,1
385673,Female,25,1,46,1,1,2,29200,160,90,1
385674,Male,26,1,41,1,1,2,23989,152,38,1
385675,Male,60,1,8,0,3,1,43677,30,268,1
385676,Female,22,1,46,1,1,2,35268,152,38,1
385677,Female,31,1,28,0,3,1,54629,124,56,1
385678,Male,70,1,33,1,3,2,20529,124,177,1
385679,Male,41,1,18,0,3,1,18841,124,50,1
385680,Male,24,1,15,1,1,2,31790,152,268,1
385681,Male,26,1,35,1,1,2,51649,160,119,1
385682,Female,26,1,29,1,1,2,29836,152,274,1
385683,Female,22,1,15,0,1,1,26010,160,152,1
385684,Male,53,1,8,1,3,2,31884,7,94,1
385685,Female,58,1,28,0,3,1,32905,26,149,1
385686,Male,50,1,15,1,3,2,32819,26,140,1
385687,Female,64,1,14,1,3,2,2630,152,259,1
385688,Female,20,1,10,0,1,1,28270,160,69,1
385689,Female,22,1,28,0,1,1,42549,152,225,1
385690,Female,49,1,15,0,3,1,23749,124,84,1
385691,Male,38,1,11,1,3,2,2630,124,36,1
385692,Female,61,1,8,0,3,1,44931,26,157,1
385693,Male,59,1,14,1,3,2,26042,26,78,1
385694,Male,41,1,3,0,3,1,2630,156,174,1
385695,Female,21,1,46,0,1,1,15599,152,117,1
385696,Male,31,1,41,1,1,2,2630,156,186,1
385697,Female,26,1,24,1,1,2,2630,160,111,1
385698,Male,45,1,8,0,3,1,40328,26,50,1
385699,Female,26,1,23,1,1,2,30210,152,242,1
385700,Male,26,1,46,1,1,2,33794,152,170,1
385701,Female,26,1,8,0,3,2,28982,124,75,1
385702,Male,43,1,28,1,3,2,32548,124,222,1
385703,Female,67,1,50,0,3,1,32319,124,240,1
385704,Female,59,1,28,0,3,1,49419,26,10,1
385705,Female,22,1,41,0,1,1,42878,163,112,1
385706,Female,39,1,28,0,3,2,37804,124,91,1
385707,Male,33,1,47,0,1,1,23803,16,296,1
385708,Female,22,1,17,1,1,2,2630,160,179,1
385709,Female,26,1,15,1,1,2,36881,152,252,1
385710,Female,21,1,22,1,1,1,23820,160,138,1
385711,Male,40,1,28,0,3,1,35170,154,197,1
385712,Male,51,1,39,1,3,1,27248,26,157,1
385713,Female,26,1,36,1,1,2,33560,152,231,1
385714,Male,26,1,50,0,1,1,35248,152,192,1
385715,Male,38,1,15,0,3,2,26978,152,80,1
385716,Male,42,1,45,0,3,2,31383,124,125,1
385717,Female,22,1,46,1,1,2,24354,152,50,1
385718,Male,24,1,14,1,1,2,45280,152,60,1
385719,Male,45,1,28,0,3,1,40016,124,50,1
385720,Female,50,1,28,0,2,1,42267,26,88,1
385721,Male,23,1,5,1,1,2,22693,152,113,1
385722,Female,21,1,30,1,1,2,32177,160,244,1
385723,Female,61,1,8,0,2,1,29552,26,158,1
385724,Male,31,1,11,1,3,1,29554,124,296,1
385725,Female,22,1,18,1,1,2,31987,152,164,1
385726,Male,44,1,4,1,3,2,26647,124,211,1
385727,Female,77,1,28,0,2,1,35301,147,184,1
385728,Male,38,1,3,0,3,1,2630,156,294,1
385729,Male,46,1,9,0,3,1,39456,26,69,1
385730,Male,28,1,8,0,1,1,2630,157,218,1
385731,Male,21,1,16,1,1,2,2630,152,36,1
385732,Male,26,1,36,1,1,2,37547,152,284,1
385733,Male,68,1,28,1,3,2,34081,23,164,1
385734,Male,65,1,20,1,3,2,2630,26,78,1
385735,Female,39,1,0,1,3,2,2630,122,254,1
385736,Female,52,1,43,1,3,2,2630,160,242,1
385737,Male,73,1,8,1,3,2,58781,26,146,1
385738,Male,29,1,41,1,1,2,36662,152,47,1
385739,Female,36,1,15,1,3,2,2630,152,29,1
385740,Male,39,1,33,0,2,1,32184,154,164,1
385741,Male,48,1,28,0,3,1,55129,55,169,1
385742,Male,24,1,11,1,1,2,24144,152,288,1
385743,Male,43,1,7,0,3,2,2630,156,230,1
385744,Female,26,1,50,1,1,2,2630,152,165,1
385745,Male,52,1,3,0,3,1,31034,26,103,1
385746,Male,71,1,28,0,3,1,42944,124,187,1
385747,Male,60,1,4,1,3,2,26590,26,161,1
385748,Male,24,1,47,0,1,1,43707,152,242,1
385749,Male,39,1,11,0,3,1,2630,157,99,1
385750,Male,59,1,28,0,3,1,37388,124,72,1
385751,Male,67,1,11,0,3,2,2630,124,257,1
385752,Male,27,1,28,1,1,2,40562,152,212,1
385753,Male,44,1,8,0,3,1,40694,163,205,1
385754,Male,26,1,45,0,1,2,40297,152,292,1
385755,Female,23,1,29,1,1,2,29984,152,241,1
385756,Female,29,1,47,0,1,1,25233,152,40,1
385757,Male,48,1,28,0,3,1,34867,26,44,1
385758,Female,27,1,11,1,1,2,20123,152,233,1
385759,Female,63,1,21,0,3,1,16781,26,179,1
385760,Male,57,1,48,0,3,2,2630,26,56,1
385761,Male,25,1,41,1,1,2,2630,107,282,1
385762,Male,26,1,3,1,1,2,28096,152,120,1
385763,Female,20,1,47,0,3,1,2630,156,271,1
385764,Male,33,1,3,0,3,1,31600,156,79,1
385765,Male,24,1,6,0,1,1,29390,152,176,1
385766,Male,50,1,47,1,3,2,33809,26,123,1
385767,Female,23,1,8,1,1,2,28626,152,23,1
385768,Female,27,1,11,1,1,2,28993,152,250,1
385769,Male,40,1,29,1,3,2,36301,124,81,1
385770,Male,50,1,28,0,3,2,2630,124,78,1
385771,Male,21,1,30,1,1,2,26337,152,113,1
385772,Male,28,1,15,1,3,1,28369,156,33,1
385773,Male,21,1,37,0,3,1,30736,156,257,1
385774,Male,23,1,21,1,1,2,25488,152,111,1
385775,Male,62,1,28,1,3,2,40878,26,119,1
385776,Male,30,1,41,0,1,1,36015,152,222,1
385777,Male,57,1,30,0,3,1,25893,124,210,1
385778,Female,43,1,50,0,2,1,37808,8,85,1
385779,Female,42,1,28,0,3,1,26701,124,56,1
385780,Female,49,1,28,0,3,1,38220,26,100,1
385781,Male,47,1,8,0,3,1,38502,26,131,1
385782,Female,27,1,8,1,1,2,34891,152,201,1
385783,Female,26,1,29,0,1,2,37366,152,25,1
385784,Female,36,1,28,0,3,1,34220,124,82,1
385785,Male,27,1,28,1,1,2,30895,152,48,1
385786,Female,44,1,37,1,3,2,28807,21,72,1
385787,Female,25,1,30,1,1,2,25677,152,183,1
385788,Male,23,1,36,0,1,1,30515,151,154,1
385789,Male,51,1,28,0,3,2,44942,124,58,1
385790,Female,23,1,41,1,1,2,30129,152,214,1
385791,Female,22,1,32,0,1,1,2630,152,159,1
385792,Male,24,1,12,1,1,2,2630,160,229,1
385793,Male,40,1,28,0,3,1,36171,26,163,1
385794,Female,25,1,7,0,1,1,2630,152,53,1
385795,Male,47,1,8,0,3,1,40177,19,233,1
385796,Female,36,1,28,1,3,2,99445,124,170,1
385797,Male,60,1,28,1,3,2,30425,13,261,1
385798,Female,24,1,25,1,1,2,2630,152,228,1
385799,Female,27,1,26,1,1,2,33195,152,76,1
385800,Female,37,1,0,0,3,2,2630,13,244,1
385801,Male,69,1,28,0,3,1,42726,24,264,1
385802,Male,28,1,10,1,1,2,2630,160,165,1
385803,Male,33,1,28,0,3,1,21604,124,220,1
385804,Male,49,1,35,0,3,1,34491,26,277,1
385805,Female,56,1,15,0,3,1,39605,26,264,1
385806,Male,64,1,8,0,2,1,42422,124,69,1
385807,Male,75,1,41,0,2,1,39840,26,239,1
385808,Male,36,1,15,0,3,1,2630,86,191,1
385809,Female,63,1,28,0,3,1,38681,26,25,1
385810,Female,49,1,2,0,3,1,32703,122,11,1
385811,Female,24,1,15,0,1,1,28720,152,281,1
385812,Female,25,1,8,0,1,1,74259,152,176,1
385813,Male,24,1,28,0,1,1,2630,156,234,1
385814,Female,22,1,45,0,1,1,2630,160,179,1
385815,Female,45,1,28,0,3,1,36886,13,104,1
385816,Male,47,1,8,0,3,1,48076,124,199,1
385817,Female,67,1,8,0,3,1,62204,26,163,1
385818,Male,68,1,39,0,3,2,52840,124,73,1
385819,Female,65,1,8,0,3,2,2630,160,128,1
385820,Male,40,1,0,0,3,1,2630,26,131,1
385821,Female,44,1,48,1,3,2,2630,124,169,1
385822,Female,28,1,13,1,1,2,2630,152,280,1
385823,Male,46,1,28,0,3,1,29224,26,108,1
385824,Female,75,1,28,0,3,2,57183,26,202,1
385825,Female,21,1,23,0,1,1,34225,26,97,1
385826,Female,23,1,15,1,1,2,27043,152,128,1
385827,Male,45,1,28,0,3,1,34960,26,180,1
385828,Male,27,1,35,1,1,2,32475,152,237,1
385829,Male,45,1,8,1,3,2,2630,26,181,1
385830,Male,26,1,28,0,1,1,27784,152,63,1
385831,Male,47,1,28,0,3,1,38737,26,255,1
385832,Female,31,1,28,0,1,1,35874,152,159,1
385833,Female,24,1,38,1,1,2,23056,152,101,1
385834,Female,35,1,18,0,3,1,36981,124,156,1
385835,Male,53,1,29,0,3,1,2630,156,131,1
385836,Male,45,1,28,0,2,1,69856,26,275,1
385837,Male,31,1,8,1,1,2,47593,152,244,1
385838,Male,51,1,13,0,3,1,26437,29,81,1
385839,Male,69,1,28,1,3,2,45209,147,167,1
385840,Male,38,1,28,0,2,1,27950,124,231,1
385841,Male,25,1,6,0,1,2,25906,152,74,1
385842,Female,24,1,17,1,1,2,35478,160,208,1
385843,Male,43,1,7,0,3,1,2630,157,75,1
385844,Female,22,1,7,1,1,2,37245,152,124,1
385845,Female,60,1,28,0,3,1,45156,26,11,1
385846,Male,37,1,21,1,3,2,29218,152,30,1
385847,Female,27,1,21,1,1,2,26540,152,277,1
385848,Male,55,1,28,0,3,1,36173,26,20,1
385849,Male,24,1,28,0,1,1,33605,152,91,1
385850,Male,29,1,22,1,1,2,36359,152,220,1
385851,Male,23,1,36,0,1,1,32041,152,172,1
385852,Male,58,1,28,1,3,2,38287,26,155,1
385853,Male,68,1,38,0,3,1,40793,26,249,1
385854,Female,39,1,12,0,3,2,25259,124,31,1
385855,Female,28,1,3,1,1,2,21297,152,260,1
385856,Female,36,1,50,0,3,1,35498,124,248,1
385857,Male,39,1,9,0,3,2,24317,152,157,1
